date,location,country,temperature_celsius,humidity_percent,precipitation_mm,wind_speed_kmh,pressure_hpa,weather_condition
2024-01-01,New York,USA,2.5,68,0.0,15.2,1013.2,Clear
2024-01-01,London,UK,8.1,82,2.3,22.4,1008.7,Cloudy
2024-01-01,Tokyo,Japan,12.3,55,0.0,8.7,1021.5,Sunny
2024-01-01,Sydney,Australia,28.7,71,0.0,18.9,1015.8,Sunny
2024-01-01,Mumbai,India,24.2,78,0.0,12.3,1012.4,Partly Cloudy
2024-01-01,Cairo,Egypt,18.5,45,0.0,14.6,1018.9,Clear
2024-01-01,Moscow,Russia,-8.2,89,1.2,25.7,1002.3,Snow
2024-01-01,São Paulo,Brazil,22.8,85,5.7,11.4,1009.6,Rainy
2024-01-01,Lagos,Nigeria,31.4,82,0.0,9.8,1011.2,Humid
2024-01-01,Berlin,Germany,4.7,76,0.8,19.3,1010.5,Overcast
2024-01-02,New York,USA,1.8,72,0.0,18.7,1015.8,Clear
2024-01-02,London,UK,7.3,85,3.1,26.8,1006.2,Rainy
2024-01-02,Tokyo,Japan,11.8,58,0.0,10.2,1022.1,Sunny
2024-01-02,Sydney,Australia,29.3,68,0.0,21.4,1014.2,Sunny
2024-01-02,Mumbai,India,25.1,75,0.0,15.7,1013.8,Clear
2024-01-02,Cairo,Egypt,19.2,42,0.0,16.3,1019.7,Sunny
2024-01-02,Moscow,Russia,-9.5,92,2.8,28.4,1001.1,Heavy Snow
2024-01-02,São Paulo,Brazil,21.4,88,8.2,13.9,1008.3,Thunderstorm
2024-01-02,Lagos,Nigeria,32.1,79,0.0,8.5,1010.8,Hot
2024-01-02,Berlin,Germany,3.9,79,1.5,22.1,1009.7,Drizzle
2024-01-03,New York,USA,0.2,75,0.0,21.3,1018.4,Cold
2024-01-03,London,UK,6.8,88,4.7,29.2,1004.8,Stormy
2024-01-03,Tokyo,Japan,10.5,62,0.0,12.8,1020.9,Partly Cloudy
2024-01-03,Sydney,Australia,27.9,74,0.0,16.7,1016.5,Cloudy
2024-01-03,Mumbai,India,23.8,81,0.0,11.2,1014.5,Humid
2024-01-03,Cairo,Egypt,17.6,48,0.0,13.9,1020.3,Clear
2024-01-03,Moscow,Russia,-11.2,95,4.2,31.7,999.8,Blizzard
2024-01-03,São Paulo,Brazil,20.1,91,12.4,16.8,1007.1,Heavy Rain
2024-01-03,Lagos,Nigeria,30.8,85,0.0,7.2,1011.6,Overcast
2024-01-03,Berlin,Germany,2.4,82,2.3,24.6,1008.9,Foggy
